"specimen","IMAGE","SCALE","LM01_x","LM02_x","LM03_x","LM04_x","LM05_x","LM06_x","LM07_x","LM08_x","LM09_x","LM10_x","LM11_x","LM12_x","LM13_x","LM14_x","LM15_x","LM16_x","LM17_x","LM18_x","LM19_x","LM20_x","LM21_x","LM01_y","LM02_y","LM03_y","LM04_y","LM05_y","LM06_y","LM07_y","LM08_y","LM09_y","LM10_y","LM11_y","LM12_y","LM13_y","LM14_y","LM15_y","LM16_y","LM17_y","LM18_y","LM19_y","LM20_y","LM21_y"
"Hylobates","Hylobates_103347_Talus_Dorsal_R.png",0.001842,621,281,415,405,617,800,855,833,623,223,175,850,1004,937,270,192,31,491,434,682,652,796,810,518,175,169,180,475,792,473,790,722,789,662,651,1133,1122,848,1057,126,154,814
"Hylobates","Hylobates_10344_Talus_Dorsal_R.png",0.00177,580,294,379,383,581,777,821,804,580,188,147,828,976,910,259,164,51,516,429,684,606,844,797,520,198,164,183,536,855,504,817,731,850,673,666,1164,1138,858,1085,148,157,867
"Hylobates","Hylobates_11092_Talus_Dorsal_11092_L.png",0.002237,567,832,748,734,568,428,351,352,565,869,895,317,200,270,812,871,980,556,733,473,500,716,766,485,209,159,116,462,760,444,762,715,733,589,594,1078,1067,758,935,162,110,728
"Hylobates","Hylobates_83427_Talus_Dorsal_L.png",0.00198,516,784,681,638,515,320,277,277,518,846,873,255,136,193,786,839,963,553,657,392,437,747,765,518,240,212,212,498,758,479,788,741,746,646,644,1143,1134,880,1031,192,187,772
"Hylobates","Hylobates_AMNH-M-83425_M4505-4116",0.002227,562,292,397,415,562,696,752,754,563,228,214,769,904,825,303,205,117,513,438,653,613,696,690,446,181,154,159,420,696,432,695,651,680,522,517,1043,1020,781,956,133,126,707
"Mandrillus","Mandrillus_sphinx_170365_Talus_Dorsal_L.png",0.00303,670,995,864,836,668,549,422,467,666,1054,1134,413,338,378,965,1064,1192,746,907,657,588,782,855,587,305,260,254,539,844,518,843,779,778,634,633,1166,1147,881,1094,247,232,811
"Mandrillus","Mandrillus_sphinx_170366_Talus_Dorsal_L.png",0.003236,630,864,796,808,623,466,360,366,616,976,1043,328,224,284,870,966,1100,650,754,564,518,714,740,496,272,204,195,472,799,455,792,696,729,564,568,1126,1100,828,1042,198,177,742
"Mandrillus","Mandrillus_sphinx_170464_Talus_Dorsal_R.png",0.003268,628,321,450,444,627,831,901,872,622,250,172,941,1036,984,316,237,68,603,447,664,703,749,837,558,215,205,194,514,869,484,822,747,753,595,593,1157,1144,879,1038,168,181,788
"Mandrillus","Mandrillus_sphinx_89358_Talus_Dorsal_L.png",0.002732,371,691,582,560,368,220,180,197,353,748,823,157,60,108,736,854,958,546,570,385,319,692,730,463,161,155,158,457,770,424,742,594,736,582,583,1093,1052,782,1027,132,143,715
"Mandrillus","Mandrillus_sphinx_89361_Talus_Dorsal_L.png",0.002959,520,807,716,730,522,362,295,343,519,938,978,305,193,244,880,952,1073,662,763,519,485,782,847,578,296,266,290,576,854,529,905,800,794,614,614,1178,1161,896,1065,242,218,806
"Mandrillus","Mandrillus_sphinx_89365_Talus_Dorsal_R.png",0.002959,512,292,359,390,513,658,713,705,511,204,153,735,853,799,241,206,82,486,404,592,597,532,572,369,101,72,76,333,613,306,609,543,579,405,404,884,872,659,801,54,57,567
"Mandrillus","Mandrillus_sphinx_89366_Talus_Dorsal_R.png",0.002976,687,363,475,542,691,872,946,891,676,270,224,943,1026,996,339,263,129,609,531,750,742,816,878,590,323,272,283,586,914,542,883,766,834,639,640,1173,1155,896,1075,219,222,844
"Mandrillus","Mandrillus_sphinx_89367_Talus_Dorsal_L.png",0.002283,569,917,817,779,573,424,327,359,571,1015,1083,322,195,260,874,967,1116,628,741,520,539,777,830,555,269,217,243,559,838,517,845,747,783,637,635,1168,1148,866,1051,211,200,793
"LB1","034-LB1_Talus_Dorsal_L.png",0.00369,552,898,746,756,542,331,292,294,537,942,966,271,85,181,621,803,1019,472,710,485,392,742,787,546,235,194,238,521,758,477,761,713,750,512,511,1099,1071,817,1084,149,106,777
"AL288.1","AL288.1_Talus_Dorsal_R.png",0.004566,563,329,374,356,548,655,705,721,558,289,249,750,866,795,402,291,182,571,398,551,614,731,775,559,341,318,329,559,768,526,769,702,749,509,508,992,963,751,927,229,206,758
"AL333-147","AL333-147_Talus_Dorsal_R.png",0.004717,520,320,357,358,527,722,790,768,562,282,192,804,997,906,415,343,174,614,429,598,697,738,737,469,208,162,169,481,808,454,739,692,773,538,534,1049,1040,871,980,73,92,811
"STW 88","Australopithecus_STW_88_Talus_Dorsal_R.png",0.004167,641,277,410,380,609,753,849,848,625,232,216,881,1032,946,445,357,175,690,444,578,771,705,806,550,269,163,173,466,745,443,800,686,737,464,453,1104,1079,818,1026,70,67,768
